Date,Close/Last,Volume,Open,High,Low
2/11/2020,$774.38 ,11697470,$768.79 ,$783.51 ,$758 
2/10/2020,$771.28 ,24689160,$800 ,$819.99 ,$752.40 
2/7/2020,$748.07 ,17063520,$730.55 ,$769.75 ,$730 
2/6/2020,$748.96 ,39880750,$699.92 ,$795.83 ,$687 
2/5/2020,$734.70 ,48423840,$823.26 ,$845.98 ,$704.11 
2/4/2020,$887.06 ,60938760,$882.96 ,$968.99 ,$833.88 
2/3/2020,$780 ,47233500,$673.69 ,$786.14 ,$673.52 
1/31/2020,$650.57 ,15719270,$640 ,$653 ,$632.52 
1/30/2020,$640.81 ,29005680,$632.42 ,$650.88 ,$618 
1/29/2020,$580.99 ,18216670,$575.69 ,$589.80 ,$567.43 
1/28/2020,$566.90 ,11788490,$568.49 ,$576.81 ,$558.08 
1/27/2020,$558.02 ,13608070,$541.99 ,$564.44 ,$539.28 
1/24/2020,$564.82 ,14353600,$570.63 ,$573.86 ,$554.26 
1/23/2020,$572.20 ,19651040,$564.25 ,$582 ,$555.60 
1/22/2020,$569.56 ,31369030,$571.89 ,$594.50 ,$559.10 
1/21/2020,$547.20 ,17803470,$530.25 ,$548.58 ,$528.41 
1/17/2020,$510.50 ,13629070,$507.61 ,$515.67 ,$503.16 
1/16/2020,$513.49 ,21736650,$493.75 ,$514.46 ,$492.17 
1/15/2020,$518.50 ,17368830,$529.76 ,$537.84 ,$516.79 
1/14/2020,$537.92 ,29061380,$544.26 ,$547.41 ,$524.90 
1/13/2020,$524.86 ,26634550,$493.50 ,$525.63 ,$492 
1/10/2020,$478.15 ,12976830,$481.79 ,$484.94 ,$473.70 
1/9/2020,$481.34 ,28463190,$497.10 ,$498.80 ,$472.87 
1/8/2020,$492.14 ,31199390,$473.70 ,$498.49 ,$468.23 
1/7/2020,$469.06 ,18209140,$461.40 ,$471.63 ,$453.36 
1/6/2020,$451.54 ,10157500,$440.47 ,$451.56 ,$440 
1/3/2020,$443.01 ,17794700,$440.50 ,$454 ,$436.92 
1/2/2020,$430.26 ,9558386,$424.50 ,$430.70 ,$421.71 
12/31/2019,$418.33 ,10292460,$405 ,$421.29 ,$402.08 
12/30/2019,$414.70 ,12601270,$428.79 ,$429 ,$409.26 
12/27/2019,$430.38 ,9956827,$435 ,$435.31 ,$426.11 
12/26/2019,$430.94 ,10648290,$427.91 ,$433.48 ,$426.35 
12/24/2019,$425.25 ,8054720,$418.36 ,$425.47 ,$412.69 
12/23/2019,$419.22 ,13332820,$411.78 ,$422.01 ,$410 
12/20/2019,$405.59 ,14785210,$410.29 ,$413 ,$400.19 
12/19/2019,$404.04 ,18120310,$397.32 ,$406.85 ,$396.50 
12/18/2019,$393.15 ,14136390,$380.63 ,$395.22 ,$380.58 
12/17/2019,$378.99 ,8503775,$378.99 ,$385.50 ,$375.90 
12/16/2019,$381.50 ,18220940,$362.55 ,$383.61 ,$362.50 
12/13/2019,$358.39 ,6574281,$361.05 ,$365.21 ,$354.64 
12/12/2019,$359.68 ,7776211,$354.92 ,$362.74 ,$353.23 
12/11/2019,$352.70 ,6919162,$351.88 ,$357.19 ,$351.09 
12/10/2019,$348.84 ,8839951,$339.96 ,$350.73 ,$339.31 
12/9/2019,$339.53 ,9040217,$336.59 ,$344.45 ,$335.08 
12/6/2019,$335.89 ,7618937,$335 ,$338.86 ,$334.77 
12/5/2019,$330.37 ,3736976,$332.83 ,$334.42 ,$327.25 
12/4/2019,$333.03 ,5536255,$337.75 ,$337.86 ,$332.85 
12/3/2019,$336.20 ,6613476,$332.62 ,$337.91 ,$332.19 
12/2/2019,$334.87 ,6081986,$329.40 ,$336.38 ,$328.69 
11/29/2019,$329.94 ,2465629,$331.11 ,$331.26 ,$327.50 
11/27/2019,$331.29 ,5563459,$331.12 ,$333.93 ,$328.57 
11/26/2019,$328.92 ,7956239,$335.27 ,$335.50 ,$327.10 
11/25/2019,$336.34 ,12345770,$344.32 ,$344.57 ,$334.46 
11/22/2019,$333.04 ,16870640,$340.16 ,$341 ,$330 
11/21/2019,$354.83 ,6110013,$354.51 ,$360.84 ,$354.00 
11/20/2019,$352.22 ,6733965,$360 ,$361.20 ,$349.57 
11/19/2019,$359.52 ,7736078,$351.75 ,$359.99 ,$347.80 
11/18/2019,$349.99 ,4408505,$352.92 ,$353.15 ,$346.10 
11/15/2019,$352.17 ,4812563,$350.64 ,$352.80 ,$348.36 
11/14/2019,$349.35 ,6471703,$346.11 ,$353.84 ,$342.91 
11/13/2019,$346.11 ,8467863,$355 ,$356.33 ,$345.18 
11/12/2019,$349.93 ,7359383,$346.90 ,$350.37 ,$344.04 
11/11/2019,$345.09 ,9993689,$343.95 ,$349.19 ,$342 
11/8/2019,$337.14 ,6074221,$334.50 ,$337.46 ,$332.50 
11/7/2019,$335.54 ,14467350,$329.14 ,$341.50 ,$328.02 
11/6/2019,$326.58 ,7940932,$318 ,$326.72 ,$314.50 
11/5/2019,$317.22 ,6943417,$319.62 ,$323.51 ,$316.12 
11/4/2019,$317.47 ,8787040,$314.80 ,$321.94 ,$309.26 
11/1/2019,$313.31 ,6383929,$316.32 ,$316.48 ,$309.80 
10/31/2019,$314.92 ,5066956,$313.10 ,$319 ,$313 
10/30/2019,$315.01 ,9641810,$313 ,$318.79 ,$309.97 
10/29/2019,$316.22 ,12684270,$319.99 ,$324.30 ,$314.75 
10/28/2019,$327.71 ,18870290,$327.54 ,$340.84 ,$322.60 
10/25/2019,$328.13 ,30006090,$297.72 ,$330 ,$296.11 
10/24/2019,$299.68 ,29819230,$298.37 ,$304.93 ,$289.20 
10/23/2019,$254.68 ,11216180,$254.50 ,$256.14 ,$251.35 
10/22/2019,$255.58 ,4625095,$254.32 ,$258.33 ,$250.85 
10/21/2019,$253.50 ,5108101,$258.33 ,$259.50 ,$250.18 
10/18/2019,$256.95 ,5753666,$260.70 ,$262.80 ,$255.10 
10/17/2019,$261.97 ,4779043,$262.50 ,$264.78 ,$260.17 
10/16/2019,$259.75 ,6704303,$257.39 ,$262.10 ,$256.92 
10/15/2019,$257.89 ,6479456,$257.70 ,$260 ,$254.12 
10/14/2019,$256.96 ,10226860,$247.90 ,$258.55 ,$247.13 
10/11/2019,$247.89 ,8488159,$247.15 ,$251.08 ,$246.81 
10/10/2019,$244.74 ,6313417,$245.28 ,$249.28 ,$241.58 
10/9/2019,$244.53 ,6935033,$241.32 ,$247.30 ,$240.65 
10/8/2019,$240.05 ,8702338,$235.87 ,$243.94 ,$234.50 
10/7/2019,$237.72 ,8086957,$229.80 ,$238.56 ,$228.55 
10/4/2019,$231.43 ,8021180,$231.61 ,$234.78 ,$228.07 
10/3/2019,$233.03 ,15137760,$231.86 ,$234.48 ,$224.28 
10/2/2019,$243.13 ,6256548,$243.29 ,$244.65 ,$239.43 
10/1/2019,$244.69 ,6196290,$241.50 ,$245.95 ,$239.13 
9/30/2019,$240.87 ,5946161,$243 ,$243.98 ,$236.11 
9/27/2019,$242.13 ,11123180,$242.20 ,$248.71 ,$238.73 
9/26/2019,$242.56 ,12078790,$230.66 ,$243.31 ,$227.40 
9/25/2019,$228.70 ,9444286,$224.56 ,$228.98 ,$218.36 
9/24/2019,$223.21 ,12941110,$241.52 ,$241.99 ,$222.61 
9/23/2019,$241.23 ,4391630,$240 ,$245.18 ,$239.22 
9/20/2019,$240.62 ,6506264,$246.49 ,$246.95 ,$238.16 
9/19/2019,$246.60 ,4883135,$246 ,$247.94 ,$244.84 
9/18/2019,$243.49 ,4228103,$245 ,$248.17 ,$242.37 
9/17/2019,$244.79 ,3946909,$242.47 ,$245.60 ,$240.37 
9/16/2019,$242.81 ,4728096,$246 ,$247.43 ,$241.17 
9/13/2019,$245.20 ,5313145,$246.96 ,$248.45 ,$244.87 
9/12/2019,$245.87 ,8581210,$247.70 ,$253.50 ,$244.40 
9/11/2019,$247.10 ,10042780,$237.38 ,$248.17 ,$236 
9/10/2019,$235.54 ,4883714,$230.80 ,$235.54 ,$228.94 
9/9/2019,$231.79 ,4802669,$230 ,$233.76 ,$229.23 
9/6/2019,$227.45 ,4189372,$227.20 ,$229.64 ,$225.17 
9/5/2019,$229.58 ,7403322,$222.50 ,$229.80 ,$220.85 
9/4/2019,$220.68 ,5768696,$226.89 ,$228.46 ,$219.21 
9/3/2019,$225.01 ,5360546,$224.08 ,$228.95 ,$223.16 
8/30/2019,$225.61 ,9327775,$229.15 ,$232.44 ,$224.21 
8/29/2019,$221.71 ,5183104,$219 ,$223.40 ,$218 
8/28/2019,$215.59 ,3238625,$213.69 ,$217.25 ,$212.31 
8/27/2019,$214.08 ,5420727,$215.74 ,$218.80 ,$212.03 
8/26/2019,$215 ,5054414,$213.60 ,$215.02 ,$211.54 
8/23/2019,$211.40 ,8559704,$219.97 ,$221.17 ,$211 
8/22/2019,$222.15 ,6564964,$222.80 ,$225.40 ,$218.22 
8/21/2019,$220.83 ,7799744,$222.01 ,$223.22 ,$217.60 
8/20/2019,$225.86 ,4170527,$227.62 ,$229.09 ,$224.54 
8/19/2019,$226.83 ,5311748,$224.21 ,$227.83 ,$221.70 
8/16/2019,$219.94 ,5207376,$216.66 ,$222.24 ,$216.02 
8/15/2019,$215.64 ,8231952,$220.86 ,$221.56 ,$211.55 
8/14/2019,$219.62 ,9562591,$231.21 ,$231.50 ,$216.69 
8/13/2019,$235 ,4868998,$228.81 ,$236 ,$227.55 
8/12/2019,$229.01 ,4663937,$232.99 ,$235.77 ,$228.75 
8/9/2019,$235.01 ,3898244,$236.05 ,$238.96 ,$233.81 
8/8/2019,$238.30 ,5274349,$234.45 ,$239.80 ,$232.65 
8/7/2019,$233.42 ,4776500,$226.50 ,$233.57 ,$225.80 
8/6/2019,$230.75 ,5564200,$231.88 ,$232.50 ,$225.75 
8/5/2019,$228.32 ,7028279,$229.60 ,$231.37 ,$225.78 
8/2/2019,$234.34 ,6136481,$231.35 ,$236.27 ,$229.23 
8/1/2019,$233.85 ,8259516,$242.65 ,$244.51 ,$231.77 
7/31/2019,$241.61 ,9178208,$243 ,$246.68 ,$236.65 
7/30/2019,$242.26 ,8109014,$232.90 ,$243.36 ,$232.18 
7/29/2019,$235.77 ,9273331,$227.09 ,$235.94 ,$226.03 
7/26/2019,$228.04 ,10027700,$226.92 ,$230.26 ,$222.25 
7/25/2019,$228.82 ,22418250,$233.50 ,$234.50 ,$225.55 
7/24/2019,$264.88 ,11072840,$259.17 ,$266.07 ,$258.16 
7/23/2019,$260.17 ,5023121,$256.71 ,$260.48 ,$254.50 
7/22/2019,$255.68 ,6846273,$258.75 ,$262.16 ,$254.19 
7/19/2019,$258.18 ,7048410,$255.69 ,$259.96 ,$254.62 
7/18/2019,$253.54 ,4764483,$255.05 ,$255.75 ,$251.89 
7/17/2019,$254.86 ,9764727,$255.67 ,$258.31 ,$253.35 
7/16/2019,$252.38 ,8148989,$249.30 ,$253.53 ,$247.93 
7/15/2019,$253.50 ,11000090,$248 ,$254.42 ,$244.86 
7/12/2019,$245.08 ,9200521,$239.75 ,$245.38 ,$239.71 
7/11/2019,$238.60 ,7514430,$238.14 ,$241.50 ,$235.80 
7/10/2019,$238.92 ,9145736,$234.15 ,$238.94 ,$233.14 
7/9/2019,$230.06 ,6190835,$228.97 ,$231 ,$227.28 
7/8/2019,$230.34 ,5880542,$231.24 ,$232.25 ,$228.66 
7/5/2019,$233.10 ,7065738,$234.57 ,$235.45 ,$230.80 
7/3/2019,$234.90 ,14201150,$239.39 ,$241.57 ,$234.51 
7/2/2019,$224.55 ,9259027,$228.89 ,$229.15 ,$222.22 
7/1/2019,$227.17 ,8237964,$230.21 ,$233.10 ,$226.28 
6/28/2019,$223.46 ,6851384,$220.99 ,$225.17 ,$220.80 
6/27/2019,$222.84 ,6339710,$219.45 ,$222.90 ,$217.35 
6/26/2019,$219.27 ,8507208,$220.31 ,$227.23 ,$218.10 
6/25/2019,$219.76 ,6182071,$224.39 ,$225.34 ,$219.49 
6/24/2019,$223.64 ,5750771,$223.24 ,$225.86 ,$221.02 
6/21/2019,$221.86 ,8202078,$216.22 ,$222.18 ,$215.50 
6/20/2019,$219.62 ,11863460,$223 ,$226.90 ,$216.35 
6/19/2019,$226.43 ,6575135,$225.11 ,$227.77 ,$221.06 
6/18/2019,$224.74 ,12715790,$228.72 ,$234.74 ,$222.56 
6/17/2019,$225.03 ,12316800,$215.48 ,$227 ,$214.27 
6/14/2019,$214.92 ,7433402,$211.25 ,$216.65 ,$210.40 
6/13/2019,$213.91 ,8168260,$210.38 ,$214.90 ,$207.51 
6/12/2019,$209.26 ,15197540,$222.95 ,$223.38 ,$209 
6/11/2019,$217.10 ,11653540,$219.14 ,$220.90 ,$213.50 
6/10/2019,$212.88 ,10585040,$210.25 ,$216.94 ,$209.01 
6/7/2019,$204.50 ,16003530,$205 ,$210.84 ,$203.50 
6/6/2019,$205.95 ,20242150,$204.44 ,$211 ,$201.80 
6/5/2019,$196.59 ,13510760,$198.68 ,$201.28 ,$191.85 
6/4/2019,$193.60 ,13807520,$181.10 ,$193.98 ,$179.61 
6/3/2019,$178.97 ,13064410,$185.51 ,$186.68 ,$176.99 
5/31/2019,$185.16 ,10406730,$185.10 ,$189.92 ,$184.10 
5/30/2019,$188.22 ,7926475,$188.75 ,$192.26 ,$187.02 
5/29/2019,$189.86 ,11968640,$187.10 ,$192.39 ,$185.04 
5/28/2019,$188.70 ,10312900,$191.20 ,$195 ,$187.85 
5/24/2019,$190.63 ,14136570,$199.83 ,$199.98 ,$188.75 
5/23/2019,$195.49 ,26547140,$194.34 ,$199.47 ,$186.22 
5/22/2019,$192.73 ,18685190,$199.10 ,$203.94 ,$191.78 
5/21/2019,$205.08 ,18003900,$197.76 ,$207.40 ,$196.04 
5/20/2019,$205.36 ,20526200,$202.80 ,$206 ,$195.25 
5/17/2019,$211.03 ,17786670,$221.96 ,$222.24 ,$208.92 
5/16/2019,$228.33 ,7483273,$229.49 ,$231 ,$226.50 
5/15/2019,$231.95 ,7295976,$229.32 ,$232.44 ,$225.25 
5/14/2019,$232.31 ,7252412,$229.30 ,$234.50 ,$228 
5/13/2019,$227.01 ,10834800,$232.01 ,$232.47 ,$224.50 
5/10/2019,$239.52 ,7008336,$239.75 ,$241.99 ,$236.02 
5/9/2019,$241.98 ,6711382,$242 ,$243.68 ,$236.94 
5/8/2019,$244.84 ,6176440,$246.94 ,$250.60 ,$244.20 
5/7/2019,$247.06 ,10131410,$256.80 ,$257.21 ,$245.10 
5/6/2019,$255.34 ,10833940,$250.02 ,$258.35 ,$248.50 
5/3/2019,$255.03 ,23706770,$243.86 ,$256.61 ,$243.49 
5/2/2019,$244.10 ,18159340,$245.52 ,$247.13 ,$237.72 
5/1/2019,$234.01 ,10704350,$238.85 ,$240 ,$231.50 
4/30/2019,$238.69 ,9446965,$242.06 ,$244.21 ,$237 
4/29/2019,$241.47 ,16686620,$235.86 ,$243.98 ,$232.17 
4/26/2019,$235.14 ,22151160,$246.50 ,$246.68 ,$231.13 
4/25/2019,$247.63 ,21823380,$255 ,$259 ,$246.07 
4/24/2019,$258.66 ,9657061,$263.85 ,$265.32 ,$258 
4/23/2019,$263.90 ,10909350,$260.15 ,$265.60 ,$255.75 
4/22/2019,$262.75 ,12101690,$269 ,$269.68 ,$262.48 
4/18/2019,$273.26 ,5861478,$271.23 ,$274.84 ,$269.75 
4/17/2019,$271.23 ,5118011,$274.75 ,$274.79 ,$268.54 
4/16/2019,$273.36 ,7266504,$265.75 ,$275 ,$264.72 
4/15/2019,$266.38 ,10032490,$268.63 ,$268.88 ,$258.63 
4/12/2019,$267.70 ,6735386,$270.22 ,$271.95 ,$266.83 
4/11/2019,$268.42 ,9781294,$268.30 ,$270.50 ,$265.60 
4/10/2019,$276.06 ,7045034,$276.74 ,$278.38 ,$272.89 
4/9/2019,$272.31 ,5893247,$271.65 ,$275 ,$269.61 
4/8/2019,$273.20 ,10364600,$277.69 ,$281.16 ,$270.44 
4/5/2019,$274.96 ,13022740,$269.86 ,$276.10 ,$266.11 
4/4/2019,$267.78 ,23680170,$261.89 ,$271.20 ,$260.59 
4/3/2019,$291.81 ,7916650,$287.32 ,$296.17 ,$287.17 
4/2/2019,$285.88 ,5427184,$288.30 ,$289.44 ,$283.88 
4/1/2019,$289.18 ,8093134,$282.62 ,$289.20 ,$281.28 
3/29/2019,$279.86 ,5980355,$278.70 ,$280.16 ,$274.50 
3/28/2019,$278.62 ,6764921,$277.16 ,$280.33 ,$275.10 
3/27/2019,$274.83 ,8752384,$268.75 ,$275.37 ,$268.18 
3/26/2019,$267.77 ,7341868,$264.44 ,$270.26 ,$264.43 
3/25/2019,$260.42 ,10205080,$259.71 ,$263.18 ,$254.46 
3/22/2019,$264.53 ,8721950,$272.58 ,$272.80 ,$264 
3/21/2019,$274.02 ,5930925,$272.60 ,$276.45 ,$268.45 
3/20/2019,$273.60 ,6881976,$269.69 ,$274.97 ,$266.30 
3/19/2019,$267.47 ,11774330,$267.50 ,$273.30 ,$263.46 
3/18/2019,$269.49 ,10264960,$276 ,$278.05 ,$267.30 
3/15/2019,$275.43 ,14757360,$283.51 ,$283.72 ,$274.40 
3/14/2019,$289.96 ,7048138,$292.45 ,$295.39 ,$288.29 
3/13/2019,$288.96 ,6817854,$283.90 ,$291.99 ,$282.70 
3/12/2019,$283.36 ,7488037,$286.49 ,$288.07 ,$281.06 
3/11/2019,$290.92 ,7372298,$283.52 ,$291.28 ,$280.50 
3/8/2019,$284.14 ,8805772,$276.91 ,$285.59 ,$275.89 
3/7/2019,$276.59 ,9410697,$278.84 ,$284.70 ,$274.25 
3/6/2019,$276.24 ,10319370,$276.48 ,$281.51 ,$274.39 
3/5/2019,$276.54 ,18729800,$282 ,$284 ,$270.10 
3/4/2019,$285.36 ,17068890,$298.12 ,$299 ,$282.78 
3/1/2019,$294.79 ,22848750,$306.94 ,$307.13 ,$291.90 
2/28/2019,$319.88 ,9666224,$318.92 ,$320 ,$310.81 
2/27/2019,$314.74 ,11144100,$301.78 ,$316.30 ,$300.55 
2/26/2019,$297.86 ,8571609,$292.22 ,$302.01 ,$288.77 
2/25/2019,$298.77 ,6213701,$297.91 ,$302.90 ,$297.00 
2/22/2019,$294.71 ,5731380,$294.49 ,$296.50 ,$292.10 
2/21/2019,$291.23 ,8880830,$301.81 ,$303.24 ,$290.50 
2/20/2019,$302.56 ,7132969,$304.41 ,$306.30 ,$299 
2/19/2019,$305.64 ,4120520,$306.56 ,$311.54 ,$305.47 
2/15/2019,$307.88 ,3895815,$304.50 ,$308 ,$303.90 
2/14/2019,$303.77 ,5190887,$303.38 ,$306.77 ,$301 
2/13/2019,$308.17 ,5130398,$312.35 ,$312.75 ,$305.57 
2/12/2019,$311.81 ,5485419,$316.20 ,$318.19 ,$309.62 
2/11/2019,$312.84 ,7114012,$311.60 ,$318.60 ,$310.50 
2/8/2019,$305.80 ,5835078,$306.83 ,$307.45 ,$298.50 
2/7/2019,$307.51 ,6511830,$313.30 ,$314.70 ,$303 
2/6/2019,$317.22 ,5031368,$319.59 ,$324.24 ,$315.62 
2/5/2019,$321.35 ,6734739,$312.49 ,$322.44 ,$312.25 
2/4/2019,$312.89 ,7344076,$312.98 ,$315.30 ,$301.88 
2/1/2019,$312.21 ,7263618,$305.42 ,$316.10 ,$303.50 
1/31/2019,$307.02 ,12545190,$301 ,$311.56 ,$294 
1/30/2019,$308.77 ,10594040,$300.45 ,$309 ,$298.49 
1/29/2019,$297.46 ,4602933,$295.27 ,$298.56 ,$291.80 
1/28/2019,$296.38 ,6409477,$292.91 ,$297.46 ,$287.75 
1/25/2019,$297.04 ,7102781,$294.39 ,$298.52 ,$289.55 
1/24/2019,$291.51 ,7990911,$283.03 ,$293.68 ,$279.28 
1/23/2019,$287.59 ,12513080,$292.50 ,$294.50 ,$281.69 
1/22/2019,$298.92 ,12052130,$304.82 ,$308 ,$295.50 
1/18/2019,$302.26 ,24079260,$323 ,$327.13 ,$299.73 
1/17/2019,$347.31 ,3661162,$346.21 ,$351.50 ,$344.15 
1/16/2019,$346.05 ,4677227,$344.78 ,$352 ,$343.50 
1/15/2019,$344.43 ,6047890,$335 ,$348.80 ,$334.50 
1/14/2019,$334.40 ,5232690,$342.38 ,$342.50 ,$334 
1/11/2019,$347.26 ,5035078,$342.09 ,$348.41 ,$338.77 
1/10/2019,$344.97 ,6049621,$334.40 ,$345.39 ,$331.79 
1/9/2019,$338.53 ,5426618,$335.50 ,$343.50 ,$331.47 
1/8/2019,$335.35 ,6994427,$341.96 ,$344.01 ,$327.02 
1/7/2019,$334.96 ,7542338,$321.72 ,$336.74 ,$317.75 
1/4/2019,$317.69 ,7382755,$306 ,$318 ,$302.73 
1/3/2019,$300.36 ,6948577,$307 ,$309.40 ,$297.38 
1/2/2019,$310.12 ,11611270,$306.10 ,$315.13 ,$298.80 
12/31/2018,$332.80 ,6294298,$337.79 ,$339.21 ,$325.26 
12/28/2018,$333.87 ,9918777,$323.10 ,$336.24 ,$318.41 
12/27/2018,$316.13 ,8567385,$319.84 ,$322.17 ,$301.50 
12/26/2018,$326.09 ,8143102,$300 ,$326.97 ,$294.09 
12/24/2018,$295.39 ,5559913,$313.50 ,$314.50 ,$295.20 
12/21/2018,$319.77 ,7997219,$317.40 ,$323.47 ,$312.44 
12/20/2018,$315.38 ,9049389,$327.05 ,$330.29 ,$311.87 
12/19/2018,$332.97 ,8256374,$337.60 ,$347.01 ,$329.74 
12/18/2018,$337.03 ,7084887,$350.54 ,$351.55 ,$333.69 
12/17/2018,$348.42 ,7664832,$362 ,$365.70 ,$343.88 
12/14/2018,$365.71 ,6327625,$375 ,$377.87 ,$364.33 
12/13/2018,$376.79 ,7348168,$370.15 ,$377.44 ,$366.75 
12/12/2018,$366.60 ,5019725,$369.42 ,$371.91 ,$365.16 
12/11/2018,$366.76 ,6298472,$369.91 ,$372.17 ,$360.23 
12/10/2018,$365.15 ,6575341,$360 ,$365.98 ,$353.12 
12/7/2018,$357.97 ,11484350,$369 ,$379.49 ,$357.65 
12/6/2018,$363.06 ,7828689,$356.01 ,$367.38 ,$350.76 
12/4/2018,$359.70 ,8430213,$356.05 ,$368.68 ,$352 
12/3/2018,$358.49 ,8295843,$360 ,$366 ,$352 
11/30/2018,$350.48 ,5621104,$341.83 ,$351.60 ,$338.26 
11/29/2018,$341.17 ,3076026,$347 ,$347.50 ,$339.55 
11/28/2018,$347.87 ,4114038,$345.99 ,$348.28 ,$342.21 
11/27/2018,$343.92 ,6347004,$340.05 ,$346.96 ,$335.50 
11/26/2018,$346 ,7973119,$325 ,$346.22 ,$325 
11/23/2018,$325.83 ,4202642,$334.35 ,$337.50 ,$325.55 
11/21/2018,$338.19 ,4677389,$352 ,$353.10 ,$337.40 
11/20/2018,$347.49 ,7991253,$341.75 ,$349.80 ,$333.55 
11/19/2018,$353.47 ,9698559,$356.34 ,$366.75 ,$352.88 
11/16/2018,$354.31 ,7194458,$345.19 ,$355.70 ,$345.12 
11/15/2018,$348.44 ,4600130,$342.33 ,$348.58 ,$339.04 
11/14/2018,$344 ,5032083,$342.70 ,$347.11 ,$337.15 
11/13/2018,$338.73 ,5422756,$333.16 ,$344.70 ,$332.20 
